label,start,settled,up_fill,dn_fill,up_fill_t,dn_fill_t,pair_sh,pair_pnl,leg_pnl,pnl,paired,exit_t,exit_p,adverse,flat,band_reject,note
5m,1790004300,Down,50.0,0.0,69s,,0.0,0.0,-11.9317,-11.9317,0,Up:180s*,0.27,1,0,24,single-leg: Up naked 50sh -> 0.27 ($-11.93)
5m,1790004600,Up,50.0,50.0,136s,148s,50.0,1.0,0.0,1.0,1,resolution,,0,0,19,pair 50sh +$1.00
15m,1790004600,Up,0.0,38.09,,499s,0.0,0.0,-0.8564,-0.8564,0,Down:540s*,0.48,0,0,6,single-leg: Down naked 38sh -> 0.48 ($-0.86)
5m,1790004900,Up,50.0,50.0,56s,130s,50.0,1.0,0.0,1.0,1,resolution,,0,0,15,pair 50sh +$1.00
5m,1790005200,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,59,
5m,1790005500,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,24,
15m,1790005500,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,18,
5m,1790005800,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,45,
5m,1790006100,Down,50.0,0.0,130s,,0.0,0.0,1.3793,1.3793,0,Up:180s*,0.54,0,0,18,single-leg: Up naked 50sh -> 0.54 ($+1.38)
5m,1790006400,Down,32.4,50.0,40s,40s,32.4,0.648,0.0,0.648,1,resolution | Down:61s,0.49,0,0,19,pair 32sh +$0.65 | Down naked 18sh -> 0.49 ($+0.00)
15m,1790006400,Down,10.0,12.17,41s,83s,10.0,0.2,0.0,0.2,1,resolution | Down:115s,0.49,0,0,28,pair 10sh +$0.20 | Down naked 2sh -> 0.49 ($+0.00)
5m,1790006700,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,55,
5m,1790007000,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,37,
5m,1790007300,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,45,
15m,1790007300,Up,0.0,9.0,,46s,0.0,0.0,-3.0975,-3.0975,0,Down:540s*,0.15,1,0,15,single-leg: Down naked 9sh -> 0.15 ($-3.10)
5m,1790007600,Up,50.0,50.0,72s,46s,50.0,1.0,0.0,1.0,1,resolution,,0,0,9,pair 50sh +$1.00
5m,1790007900,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,14,
5m,1790008200,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,25,
15m,1790008200,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,11,
5m,1790008500,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,41,
5m,1790008800,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,34,
5m,1790009100,Up,0.08,12.37,35s,41s,0.08,0.0016,-3.7606,-3.759,1,resolution | Down:180s*,0.19,1,0,24,pair 0sh +$0.00 | Down naked 12sh -> 0.19 ($-3.76)
15m,1790009100,Up,0.0,1.6,,44s,0.0,0.0,-0.4589,-0.4589,0,Down:540s*,0.21,1,0,11,single-leg: Down naked 2sh -> 0.21 ($-0.46)
